LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
CAN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2010,9950.004
CAN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2011,10000.179
CAN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2012,10398.065
CAN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2013,10535.673999999999
CAN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2014,10501.546999999999
CAN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2015,10467.831
FIN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2010,8834.754
FIN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2011,9271.955
FIN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2012,9448.139000000001
FIN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2013,9658.92
FIN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2014,9769.05
FIN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2015,10025.469000000001
FRA,EDUEXP,PRY_NTRY,USD_STUDENT,A,2010,9265.065999999999
FRA,EDUEXP,PRY_NTRY,USD_STUDENT,A,2011,9343.783000000001
FRA,EDUEXP,PRY_NTRY,USD_STUDENT,A,2012,9312.157
FRA,EDUEXP,PRY_NTRY,USD_STUDENT,A,2013,9778.401
FRA,EDUEXP,PRY_NTRY,USD_STUDENT,A,2014,9918.34
FRA,EDUEXP,PRY_NTRY,USD_STUDENT,A,2015,9897.165
DEU,EDUEXP,PRY_NTRY,USD_STUDENT,A,2010,9203.306999999999
DEU,EDUEXP,PRY_NTRY,USD_STUDENT,A,2011,9613.138
DEU,EDUEXP,PRY_NTRY,USD_STUDENT,A,2012,9821.053
DEU,EDUEXP,PRY_NTRY,USD_STUDENT,A,2013,10300.284
DEU,EDUEXP,PRY_NTRY,USD_STUDENT,A,2014,10779.232
DEU,EDUEXP,PRY_NTRY,USD_STUDENT,A,2015,10863.375
JPN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2010,8885.860999999999
JPN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2011,9168.719000000001
JPN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2012,9563.784
JPN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2013,9801.809000000001
JPN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2014,10022.11
JPN,EDUEXP,PRY_NTRY,USD_STUDENT,A,2015,10167.273000000001
KOR,EDUEXP,PRY_NTRY,USD_STUDENT,A,2010,9122.943000000001
KOR,EDUEXP,PRY_NTRY,USD_STUDENT,A,2011,9682.407
KOR,EDUEXP,PRY_NTRY,USD_STUDENT,A,2012,10343.851
KOR,EDUEXP,PRY_NTRY,USD_STUDENT,A,2013,10524.248
KOR,EDUEXP,PRY_NTRY,USD_STUDENT,A,2014,10803.948
KOR,EDUEXP,PRY_NTRY,USD_STUDENT,A,2015,11688.437
MEX,EDUEXP,PRY_NTRY,USD_STUDENT,A,2010,2546.722
MEX,EDUEXP,PRY_NTRY,USD_STUDENT,A,2011,2764.7290000000003
MEX,EDUEXP,PRY_NTRY,USD_STUDENT,A,2012,2826.37
MEX,EDUEXP,PRY_NTRY,USD_STUDENT,A,2013,2925.2209999999995
MEX,EDUEXP,PRY_NTRY,USD_STUDENT,A,2014,3032.514
MEX,EDUEXP,PRY_NTRY,USD_STUDENT,A,2015,2997.928
GBR,EDUEXP,PRY_NTRY,USD_STUDENT,A,2010,9431.662
GBR,EDUEXP,PRY_NTRY,USD_STUDENT,A,2011,9628.766
GBR,EDUEXP,PRY_NTRY,USD_STUDENT,A,2012,9966.511
GBR,EDUEXP,PRY_NTRY,USD_STUDENT,A,2013,11486.577
GBR,EDUEXP,PRY_NTRY,USD_STUDENT,A,2014,11874.896
GBR,EDUEXP,PRY_NTRY,USD_STUDENT,A,2015,11028.059
USA,EDUEXP,PRY_NTRY,USD_STUDENT,A,2010,11814.53
USA,EDUEXP,PRY_NTRY,USD_STUDENT,A,2011,11726.423999999999
USA,EDUEXP,PRY_NTRY,USD_STUDENT,A,2012,11742.52
USA,EDUEXP,PRY_NTRY,USD_STUDENT,A,2013,11881.47
USA,EDUEXP,PRY_NTRY,USD_STUDENT,A,2014,12175.708999999999
USA,EDUEXP,PRY_NTRY,USD_STUDENT,A,2015,12424.258
