LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,PISAREAD,TOT,MEANSCORE,A,2012,523,
CAN,PISAREAD,TOT,MEANSCORE,A,2015,527,
FIN,PISAREAD,TOT,MEANSCORE,A,2012,524,
FIN,PISAREAD,TOT,MEANSCORE,A,2015,526,
FRA,PISAREAD,TOT,MEANSCORE,A,2012,505,
FRA,PISAREAD,TOT,MEANSCORE,A,2015,499,
DEU,PISAREAD,TOT,MEANSCORE,A,2012,508,
DEU,PISAREAD,TOT,MEANSCORE,A,2015,509,
JPN,PISAREAD,TOT,MEANSCORE,A,2012,538,
JPN,PISAREAD,TOT,MEANSCORE,A,2015,516,
KOR,PISAREAD,TOT,MEANSCORE,A,2012,536,
KOR,PISAREAD,TOT,MEANSCORE,A,2015,517,
MEX,PISAREAD,TOT,MEANSCORE,A,2012,424,
MEX,PISAREAD,TOT,MEANSCORE,A,2015,423,
GBR,PISAREAD,TOT,MEANSCORE,A,2012,499,
GBR,PISAREAD,TOT,MEANSCORE,A,2015,498,
USA,PISAREAD,TOT,MEANSCORE,A,2012,498,
USA,PISAREAD,TOT,MEANSCORE,A,2015,497,
