"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","PISAMATH","TOT","MEANSCORE","A","2012",518,
"CAN","PISAMATH","TOT","MEANSCORE","A","2015",516,
"FIN","PISAMATH","TOT","MEANSCORE","A","2012",519,
"FIN","PISAMATH","TOT","MEANSCORE","A","2015",511,
"FRA","PISAMATH","TOT","MEANSCORE","A","2012",495,
"FRA","PISAMATH","TOT","MEANSCORE","A","2015",493,
"DEU","PISAMATH","TOT","MEANSCORE","A","2012",514,
"DEU","PISAMATH","TOT","MEANSCORE","A","2015",506,
"JPN","PISAMATH","TOT","MEANSCORE","A","2012",536,
"JPN","PISAMATH","TOT","MEANSCORE","A","2015",532,
"KOR","PISAMATH","TOT","MEANSCORE","A","2012",554,
"KOR","PISAMATH","TOT","MEANSCORE","A","2015",524,
"MEX","PISAMATH","TOT","MEANSCORE","A","2012",413,
"MEX","PISAMATH","TOT","MEANSCORE","A","2015",408,
"GBR","PISAMATH","TOT","MEANSCORE","A","2012",494,
"GBR","PISAMATH","TOT","MEANSCORE","A","2015",492,
"USA","PISAMATH","TOT","MEANSCORE","A","2012",481,
"USA","PISAMATH","TOT","MEANSCORE","A","2015",470,
"HKG","PISAMATH","TOT","MEANSCORE","A","2015",548,
